,loss,accuracy,val_loss,val_accuracy
0,1.5402531623840332,0.8635871410369873,0.631568431854248,0.8542568683624268
1,0.4337030053138733,0.9173583388328552,0.3515251874923706,0.9163058996200562
2,0.29757681488990784,0.9516419768333435,0.2873792052268982,0.948051929473877
3,0.20991939306259155,0.9548899531364441,0.22574639320373535,0.9466089606285095
4,0.12877200543880463,0.9707686901092529,0.34967586398124695,0.9567099809646606
5,0.115454763174057,0.9722121953964233,0.219602569937706,0.9451659321784973
6,0.07334167510271072,0.9794297814369202,0.25287216901779175,0.9639249444007874
7,0.12499348819255829,0.9801515936851501,0.37888458371162415,0.9451659321784973
8,0.07371468842029572,0.9826777577400208,0.35671108961105347,0.9610389471054077
9,0.11302511394023895,0.9801515936851501,0.43761348724365234,0.9581529498100281
